Location,location,feature_class,latitude,longitude,Closest Ocean Basin,Distance to Nearest Ocean
Grand Canal,exact,L,40.72222,-74.005,3,48.543814796431505
Ancon Bay,exact,H,30.43235,-86.35017,3,16.21097356408557
Outer Ambon Bay,Outer,P,50.84189,3.9987,3,51.772243673549546
Tern Island,exact,T,-20.90805,150.0325,13,66.5074152673557
L. rohita,Rohita,A,23.06751,89.14488,15,60.23565958198406
Straits Gibraltar,fuzzy,H,35.95,-5.6,3,50.84546220279703
Guishan Island,exact,T,24.84194,121.95194,9,59.42280768710925
Northern Gulf Mexico,Northern,L,-20.04022,145.93238,13,68.17525853743878
Rayong province,exact,A,12.83333,101.43333,9,37.7637419650111
Gülbahçe,exact,P,38.33243,26.64487,22,22.505311250277696
Arctic Mediterranean,Arctic,L,75.58494,-43.94531,21,15.557355663974803
Khyber Pakhtunkhwa,exact,A,33.98306,71.68611,15,56.40305102194992
Longyearbyen,exact,P,78.22334,15.64689,21,30.939121272187947
Swartkops,exact,P,-33.86406,25.6011,19,41.54840852071383
Rimini,exact,P,44.05755,12.56528,22,49.47191331409545
Coastal,exact,L,37.02332,-77.36954,3,54.247216429097705
East Jawa,exact,A,-7.7394,112.5099,11,26.642417344906686
MAB,exact,P,30.85436,-92.76265,3,46.72814687687086
Seine estuary,Seine,H,49.44469,0.38177,3,81.03194835162404
Mai Khao,exact,T,6.45463,100.65408,17,17.75534636967693
Meulaboh,exact,P,4.14402,96.12664,17,57.27642993114172
French Polynesia,exact,A,-15.0,-140.0,12,77.25460981329987
Pacific-Arctic Ocean,Ocean,A,2.75,10.25,5,39.29270693419526
Pyramiden,exact,P,78.65425,16.32895,21,17.560565568298912
OAB,exact,T,44.12167,19.69361,22,44.80018043976774
Windward O'ahu,Windward,P,31.97465,-81.18622,3,60.54826475660597
Yushan lake,Yushan,T,23.47,120.95727,9,46.75337588437114
Kalimantan,exact,T,-1.0,114.0,11,78.61720677100699
Trindade,exact,P,-16.64944,-49.48889,7,16.65910098691475
Dhanmondi Lake,Dhanmondi,P,23.74,90.385,15,29.145352939090895
south Aceh,exact,A,3.16667,97.4,17,38.69120942171455
Negeri Sembilan,exact,A,2.75,102.16667,11,46.299791120042826
Kollidam River,exact,H,11.35983,79.83065,15,39.26354188694824
IndoPacific,fuzzy,H,15.0213,140.14914,8,65.19162893890712
Pacific Ocean Garbage Patch,Pacific,P,38.482,-90.74152,3,21.11526186631393
NTH,exact,T,18.58783,98.48631,15,9.872311761959894
Istanbul Strait,Istanbul,P,41.01384,28.94966,23,65.84182801375965
Shijiao,exact,P,28.92444,106.75611,9,53.39705544326334
Ganjiang River,fuzzy,H,19.92752,93.5352,15,47.68063845610981
TSB,exact,S,-19.2619,17.7325,7,35.99607241628713
Nakorn Si Thammarat,exact,P,8.43333,99.96667,17,51.858422598219214
Ansan,exact,L,38.17278,126.03611,9,54.414095783846875
Dawu River,exact,H,30.16196,31.14946,26,50.44530151568716
Dundalk Bay,exact,H,53.95,-6.25,3,52.67145277832757
Arctic Canada,exact,T,75.00018,-90.00704,21,57.302375427658596
Greater Toronto Area,exact,L,43.75919,-79.26636,3,34.41266765162195
Day Rivers,Day,L,46.30006,-83.78322,3,31.07959488889212
Gijon,exact,P,43.53573,-5.66152,3,13.61652021012425
Suzhou,exact,P,31.30408,120.59538,9,23.591204590047028
Scotia,exact,L,47.11678,-81.38306,3,43.51468058489986
South Eastern,exact,L,6.83917,116.45508,11,38.03888411275667
Jinhae Bay,exact,S,35.1412,128.696,9,43.68026922195013
Bizerta,exact,P,37.27442,9.87391,22,41.47861846899653
Elk Lake,exact,H,41.93547,-123.18643,9,54.973119644323525
Mingulay Reef Area 1,Mingulay,T,56.80586,-7.64202,2,35.10047159883299
El Battah,exact,L,31.76992,13.02459,22,54.097511314525455
Guptapara,exact,P,23.94389,90.7096,15,53.772840553765825
South Shetlands,exact,T,-62.0,-58.0,20,61.32829940707633
Nanhu Lake,fuzzy,H,65.58333,-95.98333,3,24.103694673247105
UNESCO Biosphere Reserve Lanzarote,Unesco,P,33.88056,35.48556,22,42.337425202386946
Nasipit,exact,P,8.96917,125.29472,11,56.83881197882815
Yueqing Bay,fuzzy,H,28.10788,121.09083,9,59.20941622935374
Ushuaia Bay,Ushuaia,P,-54.81084,-68.31591,20,36.536023780540205
San Andres Island,exact,T,12.5554,-81.71768,3,24.418431482414675
Cape Cope,exact,L,-39.07665,-72.66747,13,49.23128961361616
Diu,exact,P,20.71405,70.98224,15,55.549063826422866
Kermanshah Province,exact,P,34.31417,47.065,25,44.9394275761406
Nice,exact,P,43.70313,7.26608,22,29.410154478135052
Pathein,exact,P,16.77919,94.73212,15,39.69030701103247
Inside Passage,exact,H,48.0,-122.4,9,56.08831804763417
Beilun Estuary,Beilun,P,21.74093,107.80332,9,41.241137443967254
Tyuleniy (= Robben) Island,Tyuleniy,P,44.4725,47.48278,3,3.349114596965564
Orange Beach,exact,P,30.29437,-87.57359,3,23.92956760909217
Tabei Uplift,Tabei,P,42.15324,122.28619,9,42.37526142384272
United Arab Emirates,exact,A,23.75,54.5,25,27.798731661139723
Sarasota,exact,P,27.33643,-82.53065,3,18.438039460164994
Palolem,exact,P,15.01667,74.01667,15,74.67752256537551
Moria camp river,Moria,P,-23.95262,29.78263,19,57.97207721653518
Semarang city,Semarang,P,-6.99306,110.42083,11,55.518404250154816
Nortes,exact,P,8.62859,-66.34127,5,22.562389792464014
Rocas Atoll,exact,T,-3.86417,-33.80596,4,52.84332434638519
Hanauma bay,exact,L,21.26905,-157.69379,8,32.58968668569064
Tukad Penet,exact,H,-8.63726,115.09914,11,46.64382522575341
Lake Iseo,exact,H,45.71667,10.06667,22,41.43247663282991
Greece,exact,A,39.0,22.0,22,70.31861610515965
Himawan,exact,S,15.22208,103.55967,9,31.55863611204666
Maracas Beach,exact,T,10.75827,-61.43744,3,29.520941019520727
Santiago Bays,fuzzy,H,19.10737,-104.37438,9,45.60539600156991
North West Pacific,exact,H,7.113,171.254,10,50.87164537411996
Ft. Lauderdale,exact,P,26.12231,-80.14338,3,55.0207775968861
Bandengan Coast,Bandengan,P,-6.91667,110.2,11,56.95800509441793
Wieprza River,exact,H,54.44031,16.37768,24,10.321230395046049
Pribilof Islands,exact,T,56.909,-169.94202,8,52.879922424343405
Aldabra,exact,T,-9.41723,46.33999,16,19.817240394393135
Amazon basin,exact,T,-2.5,-60.0,5,55.5445465212436
Bojo,exact,P,43.25,-6.78333,3,36.01637628647623
Schwentine River,Schwentine,H,54.32724,10.19411,24,27.582641804987244
Québec City,exact,P,46.81228,-71.21454,3,40.992784113890494
Dapitan City,exact,P,8.6561,123.4227,11,19.326676234388614
Seram Sea,exact,H,-2.5,128.0,11,55.5445465212436
Central Luzon,exact,A,15.30714,120.79762,9,38.44245305739111
Trieste Bay,fuzzy,H,14.74466,-60.95777,2,56.26691696954578
Raja Ampat,exact,A,-1.86521,130.06648,10,63.01478986417857
Türkey,fuzzy,A,39.0,35.0,22,70.31861610515982
Novo Oryahovo Beach,Novo,L,22.78333,-80.35,3,35.06456587377424
Orkney,exact,L,49.38352,-83.53313,3,13.17161950638802
Koh Khramyai Beach,Koh,L,29.936,69.20325,15,56.31724246827697
California Channel Islands,exact,S,34.16304,-119.04265,9,56.28030196950735
Song Hong,exact,A,18.75,97.91667,15,51.965642954104744
Ternate Island,exact,T,0.80562,127.34044,10,79.22296042283725
Zandvlei Catchment Estuary,Zandvlei,P,-30.63181,21.98108,19,48.33605680919321
Orange-Vaal River,Orange Oval,L,40.75927,-74.20209,3,38.251571208743805
Gebeng,exact,P,3.9679,103.4319,11,52.5739591361016
Sudan,exact,A,16.0,30.0,15,77.0719607157421
MD,exact,L,39.30554,-76.55101,3,22.062674768684392
Point Calimere,exact,T,10.29656,79.87559,15,46.89473973401795
Vitória Bay,exact,S,42.88284,-2.72447,22,46.354747585643516
Zakynthos Island,exact,T,37.78845,20.76749,22,39.792225604271636
Western Indian Ocean,Western,A,19.30833,-81.375,2,25.02200550299133
Brownhill Creek,exact,L,-34.98513,138.63291,19,55.29405634515785
Koala,exact,P,13.40632,-0.13973,3,147.47289564176808
Gulf Shores,exact,P,30.35714,-87.16386,3,35.93099174506622
Wild Coast,exact,L,-32.0,29.0,19,72.81451629261294
Northeastern Atlantic Subtropical Gyre,North Eastern Province,A,1.0,40.25,17,62.156855999778585
Jhamra,exact,P,34.72093,73.63066,15,27.32191503772432
Nacella magellanica,Nawella,T,6.6318,80.1503,17,41.31640910861729
Epe,exact,P,6.58412,3.98336,5,54.21026379017077
Saronikos,exact,A,37.78559,23.93971,22,50.07329736392945
North Coast,exact,L,16.47129,107.58478,9,9.5867201252819
Tumen River,exact,H,42.29466,130.69583,9,27.927144127827326
Southeast Alaska,exact,H,52.82932,-130.91309,8,46.01050692294425
West Aceh,exact,A,4.43333,96.16667,17,37.68833422597437
Marchica,fuzzy,P,33.44116,-7.55576,3,8.340086058329513
Arizona,exact,A,34.5003,-111.50098,9,0.09580112090458698
United Kingdom,exact,A,54.75844,-2.69531,3,31.366673964480654
littorale,exact,T,45.27806,12.30389,22,29.04417008643241
Ny-Ålesund,exact,P,78.92373,11.92497,21,48.01566492056132
Pasir,exact,P,6.04934,102.13987,11,63.99633913517745
Ljubljana,exact,P,46.05108,14.50513,22,49.91918351227322
Atlantico Department,exact,A,6.66667,2.25,5,33.25775550907125
River Rhine,exact,H,51.97198,5.91545,3,59.7725191964126
Liaohe River Reserve,Liaohe,A,43.7188,122.17,9,36.02529119330213
Egadi Island,fuzzy,T,37.96667,12.26667,22,55.80089192168794
Swedish West Coast,Sihlangu Mission,S,-25.81667,31.83333,19,48.5396472921784
Kuroshio Current,exact,H,40.0,150.0,8,69.94042916169451
North Chennai,fuzzy,P,23.74314,90.90929,15,49.69541521740007
Sechura Bay,exact,H,-5.63891,-80.95645,11,52.82403062757687
Pak Kadae Estuary,Pāk,P,31.05,51.23333,25,56.08970871315916
Thunberg,fuzzy,T,50.28204,11.74798,3,29.940452412279107
Farol,exact,A,-24.10348,-52.66314,7,47.08878471747644
Yellowknife River,exact,H,62.5185,-114.31925,9,9.502888810881538
Mura river,exact,H,46.30598,16.8768,22,36.05824861996912
Northwestern Mediterranean Sea,North West,L,53.6,-2.5,3,11.119492664455889
Bandung District,exact,A,-7.1,107.61667,11,46.3019816517049
Osumi-Kaikyo,exact,H,30.99409,131.00647,9,72.40749738383253
Manzanillo Bay,exact,H,19.72258,-71.75447,3,36.37313826943218
Northern Adriatic,Northern,L,-20.04022,145.93238,13,68.17525853743878
Santos Estuarine System,Santos,P,-23.96083,-46.33361,7,53.96860980324246
Almus Dam Lake,Almus,P,40.37583,36.90444,23,36.90816084757356
Zayandeh-Rood River,Zāyandeh Rūd,H,32.29629,52.86976,25,41.45192206539357
Apulia Region,exact,A,41.00164,16.73378,22,58.760456377299924
River Vistula,exact,H,54.3632,18.95255,24,32.987127274105326
Aves Island,exact,T,15.66871,-63.61801,2,22.620518326010146
Los Cóbanos,exact,P,13.53333,-89.8,9,32.64556510668808
Versova,exact,P,38.102,22.32303,22,46.872508358479166
South Sulawesi,exact,A,-4.33333,120.25,11,33.34145977822728
Daugava,exact,H,57.06164,24.0265,24,56.442835535708646
Himalayas,exact,T,28.0,84.0,15,74.09200491183664
Mauritius,exact,A,-20.3,57.58333,18,23.87460993706374
Nallathanni,exact,H,8.4048,79.981,17,53.952497080608495
Mukwei Lagoon,Muk’ei,T,40.73328,44.7973,3,36.091030253400774
Guimarães,exact,P,41.44443,-8.29619,3,18.069909187833574
Antarctic Ecosystem,Antarctica,L,-78.15856,16.40626,20,38.02488817819223
Porto,exact,P,41.14961,-8.61099,3,40.04877629063227
Fujian,exact,A,26.25,118.0,9,57.04212427515833
Gieng Day,exact,A,20.98423,107.00356,9,74.5931973816203
IA,exact,L,42.42794,-94.18176,3,27.306849366949134
Salamina Island,exact,T,37.94183,23.50433,22,49.130730541038744
Punta Gorda,exact,P,26.92978,-82.04537,3,65.74872365841215
Salas y Gómez Island,Salas,P,43.4118,-6.26023,3,21.696577422230646
Ergene River,fuzzy,H,48.12295,-0.75399,3,69.29257228869187
South Aceh Regency,exact,A,3.16667,97.4,17,38.69120942171455
Iwakuni,exact,P,34.16297,132.22,9,45.44756705367033
Waterloo,exact,P,50.71469,4.3991,3,24.91167484541602
Siling Co,exact,H,31.77757,89.03475,15,53.78204317405405
Xiangjiang River,exact,H,29.434,113.13606,9,35.98945745408677
Gatun,exact,P,9.2891,-79.76799,5,37.606869442603845
Chile,exact,P,-33.45694,-70.64827,13,14.561303179828078
South China Sea Warm Current,South,L,33.45876,-90.15081,3,32.7089856377989
Lake Tahoe,exact,P,38.93324,-119.98435,9,63.92627829856122
Muriaé,exact,P,-21.13056,-42.36639,7,43.348724896511904
Patong Beach,exact,T,7.89022,98.29288,17,49.02687742325097
ACB,exact,P,44.98028,-85.21117,3,58.0728848855017
Azores EEZ,Azores,A,37.80847,-25.47466,2,34.37276397090126
Kelantan Bay,Kelantan,A,5.33333,102.0,11,58.369494668244194
Joint Petroleum Development Area,Petroleum,P,39.19091,-81.26845,3,39.7202711712158
Java,exact,T,-7.49167,110.00444,11,54.64070866962423
Somalia,exact,A,6.0,48.0,17,78.39324014078403
Suswa,exact,L,-1.11667,36.35,17,45.769927447421594
Cuervitos,exact,L,29.31347,-109.73093,9,30.505770796322736
Ramsar,exact,A,25.67737,70.9383,15,48.17836680384391
Klang Valley,exact,T,2.68168,101.66127,11,27.000562245853185
Rio de Janeiro City,Rio,P,27.21949,-80.23921,3,40.449953830041096
Ebro River Delta,Ebro,P,47.49551,-95.52946,3,2.2688095305235185
Fiji,exact,A,-18.0,178.0,12,76.67453157214337
Great Barrier Reef Marine Park,exact,L,-14.68531,145.4477,13,21.360269573828326
California Current Ecosystem,California,A,37.25022,-119.75126,9,35.55775172945597
Prince Edward Island,exact,A,46.39808,-63.29844,3,19.154547043075077
Cauvery River,exact,H,11.13659,79.85782,15,56.169386542050205
Lampedusa island,exact,T,35.51667,12.58333,22,7.767132677938024
Spermonde archipelago,exact,T,-4.87556,119.11444,11,59.74680327939192
Mauritania,exact,A,20.25,-10.5,3,27.798731661139723
Nusa Penida,exact,T,-8.7346,115.5378,11,26.415271723051063
mountain karst,Mountain,L,49.21687,-76.53268,3,31.571460218077636
Baltic,exact,L,57.29568,19.48591,24,22.735024727824683
Hammersmith,exact,P,51.49384,-0.22882,3,87.99918290137924
South Atlantic Ocean,exact,H,-45.0,-15.0,6,67.99327454135923
Lake Taihu,exact,H,31.21649,120.19814,9,42.60690390376776
South-Western Caribbean Sea,South Western,A,51.0,-3.16667,3,60.24350096392992
Heron Island,exact,P,43.83036,-69.56699,3,37.12745924158282
Tunisia,exact,A,34.0,9.0,22,72.13197993110688
Kure,exact,P,34.23222,132.56658,9,30.39641595453815
Thermaikos Gulf,exact,H,40.17468,22.90924,22,50.11670199176026
Rwanda,exact,A,-2.0,30.0,17,78.59625797464898
Oker,exact,P,51.90508,10.48191,3,45.060088246227416
OH,exact,L,39.96813,-82.83678,3,59.48881986005198
Southern Indian Subtropical Gyre,Southern,A,22.24112,114.20769,9,41.61822993028381
Kathmandu city,Kathmandu,P,27.70169,85.3206,15,28.55667135239762
Onego,exact,P,38.84789,-79.42199,3,39.271910551113294
Osun Rivers,fuzzy,H,6.55971,4.063,5,48.7313663359355
Bandar Abbas City,fuzzy,A,27.5372,56.22429,15,27.501832244961733
Western Equatorial Atlantic,Western,A,19.30833,-81.375,2,25.02200550299133
Eastern Arctic Ocean,Eastern,A,19.31667,-81.13333,2,43.52406827164897
Jakarta,exact,P,-6.21462,106.84513,11,49.61534121631195
Mandalle,exact,A,-4.60694,119.60806,11,16.878030124187077
Carteret County,exact,A,34.86401,-76.53249,3,40.58494282890491
HML,exact,P,51.75368,-0.44975,3,77.78984197653067
Georgia,exact,A,32.75042,-83.50018,3,27.84543863274309
sub-Antarctic island,Iceland,A,65.0,-18.0,3,60.272836495207606
Barents Sea,exact,H,74.0,36.0,21,57.608775352547795
Chukchi Plateau,exact,U,78.0,-165.0,21,56.738054355303476
Otsuchi Bay,fuzzy,H,39.35,141.96667,9,43.41545666345237
Southern Italy,Southern,A,22.24112,114.20769,9,41.61822993028381
Greater Sydney,Greåker,P,59.26598,11.03497,3,37.02253263185989
Palik,exact,P,54.5256,28.4497,3,4.318047216733306
Miyakojima Island,Miyakojima,P,36.25787,139.17712,9,39.50206147964373
WA,exact,P,10.06069,-2.50192,3,48.84949489792692
Fuerteventura,exact,S,28.45272,-13.86376,2,35.94115828488748
Jammerbugt,exact,A,57.14583,9.5625,3,39.56024446096302
Lake Tana,exact,H,12.0,37.33333,26,58.472897344845244
Rhône,exact,P,45.06667,4.83333,22,54.78861344823397
Sub-Antarctic Macquarie Island,Macquarie,P,-35.25126,149.06363,19,48.272936004059716
Pulau,exact,T,-8.75,118.0,11,61.59807972165343
Nahr Antelias,exact,H,33.91639,35.58417,22,46.95049944456655
Las Conchitas,exact,P,8.88255,-74.2807,5,48.89273231764974
Cau,exact,L,-7.34435,14.32709,5,25.749695153035375
Rize,exact,P,41.02083,40.52194,23,53.31282404914938
Costa Dorada,exact,L,41.11134,1.25746,22,47.72988922706252
Navidad,exact,A,-24.30336,-56.42534,7,23.13549941165945
Tibiriçá,exact,P,47.37148,28.36685,23,17.4505392559386
Bandar-e Anzali,exact,P,37.47318,49.45785,15,4.767056408094604
Gulf Cádiz,Gulf Province,A,-7.7246,145.08545,11,52.06974232846808
Ticino,exact,A,46.28455,8.79065,22,32.723287735520735
Bay Calvi,Bay,A,3.0,43.5,17,55.59746332227936
Muara Kamal,exact,P,-6.09787,106.71397,11,50.583351509578485
Espírito Santo coast,Espiritu,L,-4.05,-79.78333,11,59.08306591575808
Tuamotu,exact,A,-18.16667,-140.93333,12,58.87085283416892
North Tyrrhenian Sea,Grande Região Norte,L,-4.0,-60.0,5,78.51852969413663
Antarctic Sea,exact,A,-43.0,67.0,18,68.78173352483822
North Western Shelf,Grande Região Norte,L,-4.0,-60.0,5,78.51852969413663
San Miguel,exact,P,13.48333,-88.18333,9,34.290513880998915
Southeastern Black Sea,South Easter,U,45.05016,-61.58184,3,50.428179497781684
Bintan Island,exact,T,1.1,104.525,11,44.5647120452686
Marsa Matruh,exact,P,31.3529,27.23725,22,29.81749944913555
Puerto Rico,exact,T,18.2494,-66.50101,2,27.865652443593145
Porto Pim,exact,L,38.5246,-28.62827,2,11.490743070330405
Tuckernuck Island,exact,T,41.30012,-70.2578,3,30.034636189075073
Bootless Bay,Bay,A,3.0,43.5,17,55.59746332227936
Magdalena,exact,A,10.0,-74.5,5,55.59746332227927
Haikou,exact,P,20.03421,110.34651,9,54.21165538570482
Solen grandis Reserve,Solen,P,46.38888,-100.79846,3,25.99251219063884
Neuse River Basin,Neuse,P,35.89737,-78.56917,3,44.62481990180987
Gull Lake,exact,A,50.09457,-108.48365,9,45.09671555878477
Lido,exact,P,41.73212,12.27654,22,31.80039819188424
Tidung Kecil Island,Tidung,P,-5.1676,119.4367,11,37.61972918289303
Salvador,exact,P,-12.97563,-38.49096,7,52.89673033239096
Wanquan River,exact,H,19.15133,110.57705,9,39.60432763370657
Central North America,exact,S,41.77559,-88.14284,3,42.661677001513766
Mai Khao beach,exact,S,8.146,98.29865,17,45.168713984002444
Cape Fear,exact,P,35.42516,-78.81474,3,29.695153387478836
Sri,exact,A,7.75,80.75,17,39.139903330982634
Gulf States,exact,L,26.35058,50.16805,25,36.99525196293046
Mersin,exact,P,36.81196,34.63886,22,36.83365086270029
SCS,exact,S,60.43278,-1.29611,2,13.444761808951952
Portugal,exact,A,39.6945,-8.13057,3,38.336030631706585
Guangdong Province,exact,A,23.5,113.25,9,25.493103709492807
Seger Beach,fuzzy,P,51.56036,-2.66279,3,13.109379763955575
GoA,exact,A,15.33333,74.08333,15,48.35681325093643
Aldabra Atoll,Aldabra,T,-9.41723,46.33999,16,19.817240394393135
British Columbia,exact,A,53.99983,-125.0032,9,64.3024500624003
Samborombón,exact,P,-35.21997,-58.281,7,36.931974983066404
Guianas,exact,L,4.0,-56.0,5,78.51852969413713
sub-Antarctic protected area,Area,P,44.83141,9.41722,22,37.42808587045686
Northern Cyprus,exact,A,35.25,33.75,22,35.868361218076835
Costa Nova,exact,L,40.61804,-8.74919,3,24.8079266818306
Sicilian Sea,Sicily,T,37.62304,13.93457,22,40.67474145802644
Africa,exact,L,7.1881,21.09375,17,56.65744747134112
Phragmites australis,Australia,A,-25.0,135.0,13,74.96446417984086
Northwestern Pacific Ocean,North West,L,53.6,-2.5,3,11.119492664455889
Khorasan Razavi,exact,A,35.0,59.0,15,71.78085647499285
Tominobo,exact,P,8.21325,124.22832,11,43.70348321415726
Belarus,exact,A,53.0,28.0,24,64.78897125986283
Köprü Streams,Vezirköprü,P,41.14361,35.45472,23,39.80874946149794
Golden Horn,exact,T,37.80472,-107.82479,9,44.33570905218693
Great Bahama Bank,exact,U,23.25,-78.0,3,58.114339065537244
South Atlantic Gyre,South,L,33.45876,-90.15081,3,32.7089856377989
Nattika Beach,fuzzy,S,38.42945,22.4455,22,9.168214737833745
Nansha Island,exact,T,10.38333,114.35,8,20.91317564954898
Jasirah Leihitu,Ja‘īrah,P,14.88333,43.83333,26,55.69784605749131
Segura,exact,P,38.05456,-1.20763,22,55.7189775632323
NE Pacific,Ne,P,44.35559,9.38787,22,18.36109410308692
Dharmasthala,exact,P,12.94792,75.38071,15,51.45959225364769
Pärnu Bay,exact,S,58.41904,24.47282,24,9.14010759812973
Taihu,exact,H,31.21649,120.19814,9,42.60690390376776
Santos,exact,P,-23.96083,-46.33361,7,53.96860980324246
Ascension Island,exact,T,-7.95,-14.36667,4,52.14977985663538
Apostle Islands National Lakeshore,exact,L,46.96349,-90.66042,3,52.968089338119405
North-East Atlantic Ocean,North East,L,55.29703,-1.7289,3,26.80065306173513
Akmola Region,Astana,P,51.1801,71.44598,3,35.7686261001676
Alubijid,exact,P,8.96278,125.42583,11,52.100455777304774
Fernando de Noronha,exact,S,-3.85493,-32.42334,4,40.372773201884634
Makran,exact,L,26.0,60.0,15,74.68233406811684
Ocean Plastics,Ocean,A,2.75,10.25,5,39.29270693419526
Central Adriatic Sea,Central,L,55.75383,37.6224,3,29.251884154669053
Velsao,fuzzy,P,15.35,73.88333,15,44.34524963416313
Western Harbor,exact,H,58.13333,7.98333,3,49.58942564255674
NE Baltic Sea,Ne,P,44.35559,9.38787,22,18.36109410308692
Dianshan Lake,exact,H,31.11417,120.96472,9,61.56177105064108
Antofagasta,exact,P,-23.65236,-70.3954,13,20.016450396794696
EEZ,exact,S,8.297,137.4903,10,22.597775567232585
Alor,exact,P,6.12104,100.36014,17,44.88407696674971
South Tangerang,exact,P,-6.28862,106.71789,11,33.64793011554232
El-wasta,exact,P,29.33778,31.20556,26,33.74420043945307
Windward Islands,exact,T,13.0,-61.0,2,77.58704894343137
Wandoor,exact,P,11.19579,76.23632,15,44.391546469477326
Viral Beach,fuzzy,T,43.05795,-89.41122,3,49.67634819035732
Tanjung Aan Beach,fuzzy,T,6.45632,99.82315,17,36.032060286299966
Msimbazi River,exact,H,-6.8,39.26667,17,42.15338664871092
Southern Korea,fuzzy,H,-31.96673,138.66607,19,54.22236083758987
Black Sea Coast,exact,L,43.85037,39.38599,23,40.0237856825163
Algarve Coast,exact,L,37.08367,-8.24902,3,51.342457753450894
Junggar basin,exact,T,45.0,88.0,3,67.99327454135909
Bodrum Peninsula,Bodrum,P,37.03833,27.42917,22,51.71655854595206
Central Texas,exact,L,30.73895,-97.94232,3,49.9744832891301
San Antonio,exact,P,29.42412,-98.49363,3,8.459979516067847
South China,exact,P,44.39562,-69.57115,3,12.9077760632794
Tidung Island,fuzzy,T,12.61102,122.25331,9,29.483547697174124
Weser,exact,P,52.6461,9.22086,3,24.895062518312276
Muenhor,fuzzy,L,-12.46972,37.39778,19,11.597092990516089
Isla Blanca,exact,T,-13.73652,-76.31251,13,33.19971858318633
KwaZulu-Natal,exact,A,-29.0,30.0,19,73.78432240784859
Abruzzo,exact,S,42.43286,14.18678,22,26.754716096503383
Lake Singarak,fuzzy,H,-0.6135,100.5393,17,98.67108384277239
sub-Saharan Africa,exact,L,1.5509,25.63297,17,15.826948390939268
Kachelotplate,exact,T,53.6457,6.82253,3,26.757942845399036
Bicol Region,exact,A,13.31389,123.56389,9,21.817852454735807
Dunedin City,exact,A,-45.64051,170.24368,13,25.34148733155086
South Eleuthera,exact,A,24.80083,-76.18306,2,46.313084437567476
Canche,exact,P,50.30244,2.20049,3,30.548530427857894
Costa Dendě,fuzzy,L,41.36083,-8.79318,3,28.929198931376494
Bojana,exact,A,43.43333,27.65,22,14.194994929914847
Lesina lagoon,fuzzy,H,29.84622,-89.60163,3,39.7303063945756
Santa Barbara Channel,exact,H,34.25,-120.00097,9,53.57514474281964
Boulder Creek,exact,P,37.12606,-122.12219,9,53.3413336833561
U.S.-China,exact,A,22.15778,113.55972,9,38.54571824496949
Granada,exact,P,11.92988,-85.95602,9,68.92083384915148
South China Sea Region,South,L,33.45876,-90.15081,3,32.7089856377989
Rana temporaria,Rånå,H,58.57375,5.82442,3,20.53705357664706
Ba Lat,exact,P,25.9885,98.3968,15,55.29341250736861
Christchurch,exact,P,-43.53333,172.63333,13,11.372013412387933
Pesona,exact,S,-6.81366,107.61474,11,37.108283475631744
South Sea Korea,South,L,33.45876,-90.15081,3,32.7089856377989
North India,exact,H,40.55556,-74.68756,3,17.013555830096728
Silba,exact,T,44.38037,14.6955,22,20.441377042012626
Kadolkele,fuzzy,S,7.1977,79.8416,17,50.48866678566481
Lambert Glacier/Amery Ice Shelf,Lambert,P,34.20178,-90.28343,3,38.663915685674155
Biscayne National Park,exact,L,25.49049,-80.21025,3,29.100516369242655
Ardabil,exact,P,38.2498,48.2933,15,33.14629320451693
Cat Ba,exact,P,20.72779,107.04819,9,53.41032040064239
Gulfs Lion,Lyon,P,45.74846,4.84671,22,38.603423759818945
Henderson,exact,A,-36.88333,174.63333,13,44.25111339389039
Ordos,exact,P,39.6086,109.78157,9,26.99192863732646
Hawai‘i,exact,A,20.75028,-156.50028,8,27.829881495430733
Durusu (Terkos) Lake,exact,H,41.34167,28.57167,23,18.592083180809855
Seberang Takir Beach,Seberang,P,2.0211,98.3918,17,54.59140571644929
Sri Tujuh Beach,Samarinda,P,-0.49167,117.14583,11,118.83427611992711
Nile,exact,L,8.23324,32.13501,17,49.921175903622036
DC,exact,L,38.79865,-77.48624,3,33.22985646533255
Maludam River,fuzzy,H,14.81348,120.58389,9,36.00667185494807
Sembilang National Park,exact,L,-1.95,104.56667,11,50.583406667249285
Cambodia,exact,A,13.0,105.0,9,77.58704894343137
mid-North Pacific Ocean,Pacific,P,38.482,-90.74152,3,21.11526186631393
Baltic Sea Proper,Baltic,P,43.76136,-96.74033,3,34.910238374030456
Raudefjorden,fuzzy,H,60.27167,5.17389,3,31.075617479619858
"1,700 km2 Whitsunday Islands",Whitsunday,A,-20.6978,148.01349,13,55.20899919201294
Yangtze River Delta,Yangtze River,H,31.76986,121.04664,9,52.36974201149076
Islay,exact,T,55.8,-6.2,3,38.30228069284791
Lebanese Rivers,Rivers State,A,4.74974,6.82766,5,45.71625842191832
Aleutian Islands,exact,T,52.09694,-173.50056,8,44.818243310871495
Lagoon,exact,H,38.3295,-122.01289,9,46.481515884941984
Țarina karst,Tarija,P,-21.53549,-64.72956,7,24.07252163817056
North-East Atlantic Porbeagle,North East,L,55.29703,-1.7289,3,26.80065306173513
Hong Lake,exact,H,29.8475,113.36321,9,40.83772873597412
Lagos Island,exact,A,6.46113,3.39037,5,12.860456077023981
YS,exact,L,79.83535,24.55873,21,37.30760495273904
